=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015MAY30 020000  3.7  992.0  59.0  3.7 3.8 3.8  none  OFF  OFF  -73.56 -77.95  UNIFRM   NA    6.1   13.29  115.30  SPRL   GOES15 27.6 
2015MAY30 023000  3.7  992.0  59.0  3.7 3.7 3.8  MW  OFF  OFF  -78.26 -79.18  UNIFRM   NA    6.1   13.33  115.03  SPRL   GOES15 27.9 MWinit1=3.93.73.7
2015MAY30 030000  3.7  991.9  59.0  3.7 3.7 3.8  MW  OFF  OFF  -76.06 -77.80  UNIFRM   NA    6.1   13.38  115.18  SPRL   GOES15 27.8 MWinit1=3.83.73.7
2015MAY30 033000  3.8  990.6  61.0  3.8 3.8 3.8  MW  OFF  OFF  -73.56 -77.15  EMBC     NA    6.1   13.42  115.12  SPRL   GOES15 27.8 MWinit1=3.83.83.8
2015MAY30 040000  3.8  990.6  61.0  3.8 3.8 3.8  MW  OFF  OFF  -71.66 -76.99  UNIFRM   NA    6.1   13.45  115.15  SPRL   GOES15 27.8 MWinit1=3.83.83.8
2015MAY30 043000  3.8  990.6  61.0  3.8 3.8 3.8  MW  OFF  OFF  -70.26 -76.17  UNIFRM   NA    6.1   13.50  115.19  SPRL   GOES15 27.8 MWinit1=3.83.83.8
2015MAY30 050000  3.8  990.5  61.0  3.8 3.8 3.7  MW  OFF  OFF  -68.06 -74.90  UNIFRM   NA    6.1   13.54  115.24  SPRL   GOES15 27.8 MWinit1=3.83.83.8
2015MAY30 053000  3.9  989.1  63.0  3.9 3.9 3.8  MW  OFF  OFF  -62.76 -74.45  UNIFRM   NA    6.1   13.69  115.28  SPRL   GOES15 27.9 MWinit1=3.83.83.8
2015MAY30 060000  3.9  989.1  63.0  3.9 3.9 3.8  MW  OFF  OFF  -71.66 -73.39  EMBC     NA    6.1   13.64  115.33  SPRL   GOES15 27.8 MWinit1=3.83.83.8
2015MAY30 063000  3.9  989.1  63.0  3.9 3.9 3.8  MW  OFF  OFF  -70.66 -73.18  EMBC     NA    6.1   13.68  115.27  SPRL   GOES15 27.9 MWinit1=3.83.83.8
2015MAY30 070000  3.9  989.1  63.0  3.9 3.9 3.7  MW   ON  OFF  -69.76 -72.33  EMBC     NA    6.1   13.72  115.42  SPRL   GOES15 27.7 MWinit1=3.73.73.8
2015MAY30 073000  4.0  987.7  65.0  4.0 4.0 3.7  MW   ON  OFF  -70.26 -71.31  UNIFRM   NA    6.1   13.77  115.46  SPRL   GOES15 27.7 MWinit1=3.73.73.8
2015MAY30 080000  4.0  987.7  65.0  4.0 4.0 3.7  MW   ON  OFF  -69.76 -71.10  UNIFRM   NA    6.1   13.81  115.50  SPRL   GOES15 27.7 MWinit1=3.73.73.8
2015MAY30 083000  4.0  987.7  65.0  4.0 4.0 3.7  MW   ON  OFF  -66.36 -70.85  UNIFRM   NA    6.1   13.76  115.55  SPRL   GOES15 27.6 MWinit1=3.73.73.8
2015MAY30 090000  4.0  987.7  65.0  4.0 4.0 3.7  MW   ON  OFF  -62.36 -72.68  UNIFRM   NA    6.1   13.80  115.49  SPRL   GOES15 27.7 MWinit1=3.83.73.8
